Designator,Footprint,Quantity,Value,LCSC Part #
SW1,MXOnly-1U-Hotswap,1,KEYSW,
SW2,MXOnly-1U-Hotswap,1,KEYSW,
SW3,MXOnly-1U-Hotswap,1,KEYSW,
SW4,MXOnly-1U-Hotswap,1,KEYSW,
SW5,MXOnly-1U-Hotswap,1,KEYSW,
SW6,MXOnly-1U-Hotswap,1,KEYSW,
SW7,MXOnly-1U-Hotswap,1,KEYSW,
SW8,MXOnly-1U-Hotswap,1,KEYSW,
SW9,MXOnly-1U-Hotswap,1,KEYSW,
SW10,MXOnly-1U-Hotswap,1,KEYSW,
SW11,MXOnly-1U-Hotswap,1,KEYSW,
SW12,MXOnly-1U-Hotswap,1,KEYSW,
SW13,MXOnly-1U-Hotswap,1,KEYSW,
SW15,MXOnly-1U-Hotswap,1,KEYSW,
SW17,MXOnly-1U-Hotswap,1,KEYSW,
SW18,MXOnly-1U-Hotswap,1,KEYSW,
SW19,MXOnly-1U-Hotswap,1,KEYSW,
SW20,MXOnly-1U-Hotswap,1,KEYSW,
SW21,MXOnly-1U-Hotswap,1,KEYSW,
SW22,MXOnly-1U-Hotswap,1,KEYSW,
SW23,MXOnly-1U-Hotswap,1,KEYSW,
SW24,MXOnly-1U-Hotswap,1,KEYSW,
SW25,MXOnly-1U-Hotswap,1,KEYSW,
SW26,MXOnly-1U-Hotswap,1,KEYSW,
SW27,MXOnly-1U-Hotswap,1,KEYSW,
SW28,MXOnly-1U-Hotswap,1,KEYSW,
SW30,MXOnly-1U-Hotswap,1,KEYSW,
SW32,MXOnly-1U-Hotswap,1,KEYSW,
SW33,MXOnly-1U-Hotswap,1,KEYSW,
SW34,MXOnly-1U-Hotswap,1,KEYSW,
SW35,MXOnly-1U-Hotswap,1,KEYSW,
SW36,MXOnly-1U-Hotswap,1,KEYSW,
SW37,MXOnly-1U-Hotswap,1,KEYSW,
SW38,MXOnly-1U-Hotswap,1,KEYSW,
SW39,MXOnly-1U-Hotswap,1,KEYSW,
SW40,MXOnly-1U-Hotswap,1,KEYSW,
SW41,MXOnly-1U-Hotswap,1,KEYSW,
SW42,MXOnly-1U-Hotswap,1,KEYSW,
SW44,MXOnly-1U-Hotswap,1,KEYSW,
SW46,MXOnly-1U-Hotswap,1,KEYSW,
SW47,MXOnly-1U-Hotswap,1,KEYSW,
SW48,MXOnly-1U-Hotswap,1,KEYSW,
SW49,MXOnly-1U-Hotswap,1,KEYSW,
SW50,MXOnly-1U-Hotswap,1,KEYSW,
SW51,MXOnly-1U-Hotswap,1,KEYSW,
SW52,MXOnly-1U-Hotswap,1,KEYSW,
SW53,MXOnly-1U-Hotswap,1,KEYSW,
SW54,MXOnly-1U-Hotswap,1,KEYSW,
SW55,MXOnly-1U-Hotswap,1,KEYSW,
SW57,MXOnly-1U-Hotswap,1,KEYSW,
SW58,MXOnly-1U-Hotswap,1,KEYSW,
SW62,MXOnly-1U-Hotswap,1,KEYSW,
SW65,MXOnly-1U-Hotswap,1,KEYSW,
SW66,MXOnly-1U-Hotswap,1,KEYSW,
SW67,MXOnly-1U-Hotswap,1,KEYSW,
SW14,MXOnly-2U-Hotswap,1,KEYSW,
SW29,MXOnly-1.5U-Hotswap,1,KEYSW,
SW31,MXOnly-1.75U-Hotswap,1,KEYSW,
SW43,MXOnly-2.25U-Hotswap,1,KEYSW,
SW45,MXOnly-2.25U-Hotswap,1,KEYSW,
SW56,MXOnly-1.75U-Hotswap,1,KEYSW,
SW59,MXOnly-1.25U-Hotswap,1,KEYSW,
