Designator,Mid X,Mid Y,Rotation,Layer
SW1,63.33871,-94.77121,0.0,top
SW2,82.38871,-94.77121,0.0,top
SW3,101.43871,-94.77121,0.0,top
SW4,120.48871,-94.77121,0.0,top
SW5,139.53871,-94.77121,0.0,top
SW6,158.58871,-94.77121,0.0,top
SW7,177.63871,-94.77121,0.0,top
SW8,196.68871,-94.77121,0.0,top
SW9,215.73871,-94.77121,0.0,top
SW10,234.78871,-94.77121,0.0,top
SW11,253.83871,-94.77121,0.0,top
SW12,272.88871,-94.77121,0.0,top
SW13,291.93871,-94.77121,0.0,top
SW15,349.08871,-94.77121,0.0,top
SW17,91.91371,-113.82121,0.0,top
SW18,110.96371,-113.82121,0.0,top
SW19,130.01371,-113.82121,0.0,top
SW20,149.06371,-113.82121,0.0,top
SW21,168.11371,-113.82121,0.0,top
SW22,187.16371,-113.82121,0.0,top
SW23,206.21371,-113.82121,0.0,top
SW24,225.26371,-113.82121,0.0,top
SW25,244.31371,-113.82121,0.0,top
SW26,263.36371,-113.82121,0.0,top
SW27,282.41371,-113.82121,0.0,top
SW28,301.46371,-113.82121,0.0,top
SW30,349.08871,-113.82121,0.0,top
SW32,96.67621,-132.87121,0.0,top
SW33,115.72621,-132.87121,0.0,top
SW34,134.77621,-132.87121,0.0,top
SW35,153.82571,-132.87121,0.0,top
SW36,172.87571,-132.87121,0.0,top
SW37,191.92571,-132.87121,0.0,top
SW38,210.97571,-132.87121,0.0,top
SW39,230.02571,-132.87121,0.0,top
SW40,249.07571,-132.87121,0.0,top
SW41,268.12571,-132.87121,0.0,top
SW42,287.17571,-132.87121,0.0,top
SW44,349.08871,-132.87121,0.0,top
SW46,106.20121,-151.92121,0.0,top
SW47,125.25121,-151.92121,0.0,top
SW48,144.30121,-151.92121,0.0,top
SW49,163.35171,-151.92121,0.0,top
SW50,182.40171,-151.92121,0.0,top
SW51,201.45171,-151.92121,0.0,top
SW52,220.50171,-151.92121,0.0,top
SW53,239.55171,-151.92121,0.0,top
SW54,258.60171,-151.92121,0.0,top
